Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV2283;Puruha;;;;;;;;;;;;;
PROV3787;Tallan;;;;;;;;;;;;;
PROV3788;Palta;;;;;;;;;;;;;
PROV3789;Puna;;;;;;;;;;;;;
PROV3790;Karanki;;;;;;;;;;;;;
PROV3791;Pansaliyu;;;;;;;;;;;;;
PROV3792;Palmitupamba;;;;;;;;;;;;;
PROV3793;Guapondelig;;;;;;;;;;;;;
PROV3794;Pelusis;;;;;;;;;;;;;
PROV3795;Machala;;;;;;;;;;;;;
PROV3796;Mutupi;;;;;;;;;;;;;
PROV3797;Wampu;;;;;;;;;;;;;
PROV3798;Pakatnamu;;;;;;;;;;;;;
PROV3799;Manchan;;;;;;;;;;;;;
PROV3800;Waylas;;;;;;;;;;;;;
PROV3801;Paramunqa;;;;;;;;;;;;;
PROV3802;Chankay;;;;;;;;;;;;;
PROV3803;Ichma;;;;;;;;;;;;;
PROV3804;Yawyu;;;;;;;;;;;;;
PROV3805;Qahatanpu;;;;;;;;;;;;;
