Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
east_indies;East Indies;;;;;;;;;;;;;
AUS_628;Sudetenland;;;;;;;;;;;;;
RUS_947;Vitebsk;;;;;;;;;;;;;
RUS_964;Taurida;;;;;;;;;;;;;
RUS_968;Novorossiya;;;;;;;;;;;;;
RUS_977;Voronezh;;;;;;;;;;;;;
RUS_978;Poltava;;;;;;;;;;;;;
RUS_979;Don;;;;;;;;;;;;;
RUS_981;Pomorye;;;;;;;;;;;;;
RUS_990;Kostroma;;;;;;;;;;;;;
RUS_1016;Severia;;;;;;;;;;;;;
RUS_1020;Nizhgorod;;;;;;;;;;;;;
RUS_1034;Samara;;;;;;;;;;;;;
RUS_1039;Saratov;;;;;;;;;;;;;
RUS_1060;Orenburzhye;;;;;;;;;;;;;
ABU_1162;El Hejer;;;;;;;;;;;;;
YEM_1178;Yemen;;;;;;;;;;;;;
ENG_1304;Vellore;;;;;;;;;;;;;
NET_1398;South Sumatra;;;;;;;;;;;;;
NET_1401;East Sumatra;;;;;;;;;;;;;
ATJ_1405;Atjeh;;;;;;;;;;;;;
SAK_1406;North Sumatra;;;;;;;;;;;;;
PAG_1408;West Sumatra;;;;;;;;;;;;;
YEM_1412;Hadramaut;;;;;;;;;;;;;
NET_1415;Central Java;;;;;;;;;;;;;
NET_1416;Princely States;;;;;;;;;;;;;
NET_1422;South Borneo;;;;;;;;;;;;;
MOR_1694;Tafilalt;;;;;;;;;;;;;
ENG_1721;Coromandel Coast;;;;;;;;;;;;;
EGY_1758;Sahara El Gharbia;;;;;;;;;;;;;
ENG_1819;Chad;;;;;;;;;;;;;
ENG_1825;Kamen;;;;;;;;;;;;;
FRA_2406;Desolation Islands;;;;;;;;;;;;;
PROV629;Pilsen;;;;;;;;;;;;;
PROV630;Budweis;;;;;;;;;;;;;
PROV631;Brno;;;;;;;;;;;;;
PROV632;Olomouc;;;;;;;;;;;;;
PROV637;Kassa;;;;;;;;;;;;;
