Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV310;Christiansand;;;;;;;;;;;;;
PROV3469;Zlotowò;;;;;;;;;;;;;
PROV3470;Ipsala;;;;;;;;;;;;;
PROV3471;Iruñea;;;;;;;;;;;;;
PROV3472;Baiona;;;;;;;;;;;;;
PROV3473;Aberiu;;;;;;;;;;;;;
PROV3426;Tuketerod;;;;;;;;;;;;;
PROV3427;Gori;;;;;;;;;;;;;
PROV3428;Tuttul;;;;;;;;;;;;;
PROV3429;Telavi;;;;;;;;;;;;;
PROV3430;Chegga;;;;;;;;;;;;;
PROV3431;Malian Desert;;;;;;;;;;;;;
PROV3432;Avinhon;;;;;;;;;;;;;
PROV3433;Aturbe;;;;;;;;;;;;;
PROV3434;Barcilona;;;;;;;;;;;;;
PROV3435;Suèisa;;;;;;;;;;;;;
PROV964;Akcirkey;;;;;;;;;;;;;
PROV966;Keriç;;;;;;;;;;;;;
PROV3436;Kezlev;;;;;;;;;;;;;
PROV3437;Canköy;;;;;;;;;;;;;
PROV3438;Yalta;;;;;;;;;;;;;
PROV3439;Kefe;;;;;;;;;;;;;
PROV3440;Yanbian;;;;;;;;;;;;;
PROV3441;Gazli;;;;;;;;;;;;;
PROV3442;Darvaza;;;;;;;;;;;;;
PROV858;Tlaxcallan;;;;;;;;;;;;;
PROV3425;Altenburg;;;;;;;;;;;;;
PROV3424;Saletsa;;;;;;;;;;;;;
PROV3422;Noifolyóvár;;;;;;;;;;;;;
PROV3421;Presevo;;;;;;;;;;;;;
PROV3420;Pejë;;;;;;;;;;;;;
PROV3418;Odrzanskie;;;;;;;;;;;;;
PROV3417;Gubin;;;;;;;;;;;;;
PROV265;Õlilinn;;;;;;;;;;;;
PROV3416;Budziszyn;;;;;;;;;;;;;
PROV398;Baaschtnech;;;;;;;;;;;;;
PROV3403;Barahona;;;;;;;;;;;;;
PROV3402;Chiappan;;;;;;;;;;;;;
PROV3401;Tidjikja;;;;;;;;;;;;;
PROV3400;Akize;;;;;;;;;;;;;
PROV3399;Clermont;;;;;;;;;;;;;
PROV3398;Amálfi;;;;;;;;;;;;;
PROV3397;Capua;;;;;;;;;;;;;
PROV397;Luxeburi;;;;;;;;;;;;
PROV3396;Elba;;;;;;;;;;;;;
PROV3395;Anai;;;;;;;;;;;;;
PROV3394;Angram;;;;;;;;;;;;;
PROV3393;Bay Islands;;;;;;;;;;;;;
PROV3404;al-Salman;;;;;;;;;;;;;
PROV1756;al-Arish;;;;;;;;;;;;;
PROV3405;Tadmor;;;;;;;;;;;;;
PROV3406;Artik;;;;;;;;;;;;;
PROV3407;Amara;;;;;;;;;;;;;
PROV3408;Cherbourg;;;;;;;;;;;;;
PROV3409;Diddenowen;;;;;;;;;;;;;
PROV407;Chaumont;;;;;;;;;;;;
PROV409;Strossburi;;;;;;;;;;;;
PROV410;Kolmer;;;;;;;;;;;;
PROV411;Nanzeg;;;;;;;;;;;;
PROV412;Metz;;;;;;;;;;;;
PROV413;Verden;;;;;;;;;;;;
PROV414;Spinal;;;;;;;;;;;;
PROV3410;Morales;;;;;;;;;;;;;
PROV3411;Teotitlan;;;;;;;;;;;;;
PROV3412;Jan Mayen;;;;;;;;;;;;;
PROV3413;South China Islands;;;;;;;;;;;;;
PROV3414;Port-aux-Français;;;;;;;;;;;;;
PROV3415;Sam Nuea;;;;;;;;;;;;;
PROV3392;Gelendzhik;;;;;;;;;;;;;
PROV3391;Nazran;;;;;;;;;;;;;
PROV3390;Kidero;;;;;;;;;;;;;
PROV3389;Botlikh;;;;;;;;;;;;;
PROV3388;Makhachkala;;;;;;;;;;;;;
PROV3387;Urkarakh;;;;;;;;;;;;;
PROV3386;Haykategh;;;;;;;;;;;;;
PROV3385;Quba;;;;;;;;;;;;;
PROV3384;Kurakh;;;;;;;;;;;;;
PROV3381;Boca do Acre;;;;;;;;;;;;;
PROV3380;Corumba;;;;;;;;;;;;;
PROV3379;Béibreg;;;;;;;;;;;;;
PROV3378;Cabhan;;;;;;;;;;;;;
PROV3377;Klierf;;;;;;;;;;;;;
PROV3376;Poczdam;;;;;;;;;;;;;
PROV3375;Roda;;;;;;;;;;;;;
PROV3374;Dreinóspóli;;;;;;;;;;;;;
PROV3373;Filibe;;;;;;;;;;;;;
PROV3372;Shulinya;;;;;;;;;;;;;
PROV3371;Panglikalya;;;;;;;;;;;;;
PROV3370;Gyepuföld;;;;;;;;;;;;;
PROV3369;Firjuza;;;;;;;;;;;;;
PROV3368;Jaanilidna;;;;;;;;;;;;;
PROV3367;Petseri;;;;;;;;;;;;;
PROV3365;Neustadt;;;;;;;;;;;;;
PROV3364;Sanmenwai;;;;;;;;;;;;;
PROV3363;Konin;;;;;;;;;;;;;
PROV3362;Ifrin;;;;;;;;;;;;;
PROV3361;Byblos;;;;;;;;;;;;;
PROV3360;Joub Jannine;;;;;;;;;;;;;
PROV3359;Tonantins;;;;;;;;;;;;;
PROV3358;Golan;;;;;;;;;;;;;
PROV3357;Eilat;;;;;;;;;;;;;
PROV3356;Kosan;;;;;;;;;;;;;
PROV3355;Anar Dara;;;;;;;;;;;;;
PROV3354;Sabzevar;;;;;;;;;;;;;
PROV3353;Orumiyeh;;;;;;;;;;;;;
PROV3352;Khurmal;;;;;;;;;;;;;
PROV3351;Mahshahr;;;;;;;;;;;;;
PROV3350;Ganaveh;;;;;;;;;;;;;
PROV3349;Izeh;;;;;;;;;;;;;
PROV3348;Artaz;;;;;;;;;;;;;
PROV3347;Viminákio;;;;;;;;;;;;;
PROV3346;Enópotámia;;;;;;;;;;;;;
PROV3345;Sis;;;;;;;;;;;;;
PROV3344;Neuzen;;;;;;;;;;;;;
PROV3342;Kilkis;;;;;;;;;;;;;
PROV3341;Augustow;;;;;;;;;;;;;
PROV3340;Krepost Ross;;;;;;;;;;;;;
PROV3339;Rovaniemi;;;;;;;;;;;;;
PROV3338;Giron;;;;;;;;;;;;;
PROV3337;Zary;;;;;;;;;;;;;
PROV3336;Lubin;;;;;;;;;;;;;
PROV3335;Márgyavár;;;;;;;;;;;;;
PROV3334;Kuttenberg;;;;;;;;;;;;;
PROV3483;Prag;;;;;;;;;;;;;
PROV3333;Freiberg;;;;;;;;;;;;;
PROV3332;Beregszász;;;;;;;;;;;;;
PROV3331;Kikinda;;;;;;;;;;;;;
PROV3330;Szabatka;;;;;;;;;;;;;
PROV3325;Tiraspol;;;;;;;;;;;;;
PROV3324;Ositemphely;;;;;;;;;;;;;
PROV3323;Kefelong;;;;;;;;;;;;;
PROV3322;Lopner;;;;;;;;;;;;;
PROV3321;Tomurlik;;;;;;;;;;;;;
PROV3320;Jeremie;;;;;;;;;;;;;
PROV3319;Coatlicamac;;;;;;;;;;;;;
PROV3318;Orava;;;;;;;;;;;;;
PROV3317;Losannen;;;;;;;;;;;;;
PROV3316;Zakatata;;;;;;;;;;;;;
PROV3315;Sochi;;;;;;;;;;;;;
PROV3314;Boulogne;;;;;;;;;;;;;
PROV3313;Valença;;;;;;;;;;;;;
PROV3312;Salzbrunn;;;;;;;;;;;;;
PROV3311;Blue Ridge;;;;;;;;;;;;;
PROV3310;Huntsville;;;;;;;;;;;;;
PROV3309;Tlatlauquiltepec;;;;;;;;;;;;;
PROV3308;Shupenze;;;;;;;;;;;;;
PROV3307;Korce;;;;;;;;;;;;;
PROV3306;Metsovo;;;;;;;;;;;;;
PROV3305;Christmas Island;;;;;;;;;;;;;
PROV3304;Gümülcine;;;;;;;;;;;;;
PROV3303;Tsarevo;;;;;;;;;;;;;
PROV3302;Kirklareli;;;;;;;;;;;;;
PROV3301;Apamea;;;;;;;;;;;;;
PROV3300;Dira Ze'urta;;;;;;;;;;;;;
PROV3299;Aksai Chin;;;;;;;;;;;;;
RUS_2700;Komi-Zyryan;;;;;;;;;;;;;
PROV2689;Vorkuta;;;;;;;;;;;;;
NEJ_1164;Hassa;;;;;;;;;;;;;
PROV3298;Ayteke Bi;;;;;;;;;;;;;
PROV3297;Old Shanghai;;;;;;;;;;;;;
PROV3296;Lubumbashi;;;;;;;;;;;;;
PROV3295;Pematang Siantar;;;;;;;;;;;;;
PROV1235;Shimla;;;;;;;;;;;;;
DEN_251;Island & Grønland;;;;;;;;;;;;;
TUR_887;Karno K'aghak';;;;;;;;;;;;;
TAJ_1208;Tadzhikistan;;;;;;;;;;;;;
